,place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
115,대방진굴항,3.0,3.0,20.0,240.0,41.0,55.0,285.0,2.0,45.0,3.0,153
116,대승사(문경),0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
117,대원군별장,16.0,2.0,40.0,240.0,18.0,59.0,285.0,22.0,210.0,36.0,10
118,대원사(보성),0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119,대전 계족산성,0.0,1.0,2.0,22.0,2.0,0.0,1.0,2.0,0.0,0.0,146
120,대한민국 수준원점,43.0,1.0,0.0,240.0,59.0,224.0,285.0,105.0,237.0,3.0,3
121,대흥동헌,0.0,0.0,10.0,17.0,6.0,0.0,21.0,0.0,6.0,3.0,88
122,대흥사,0.0,2.0,1.0,3.0,6.0,1.0,4.0,0.0,0.0,2.0,714
123,덕수궁,28.0,36.0,60.0,237.0,236.0,224.0,285.0,236.0,237.0,158.0,4478
124,도동서원,0.0,1.0,16.0,8.0,0.0,1.0,5.0,3.0,1.0,1.0,1305
125,도라전망대,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121
126,도마령,0.0,1.0,60.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,347
127,도산서원 ,2.0,0.0,20.0,3.0,2.0,0.0,1.0,1.0,0.0,3.0,1054
128,독립문,12.0,3.0,39.0,189.0,53.0,112.0,270.0,46.0,222.0,51.0,355
129,돈암서원 ,1.0,23.0,20.0,43.0,5.0,0.0,24.0,240.0,3.0,1.0,300
130,동구릉 ,25.0,0.0,58.0,240.0,5.0,23.0,285.0,15.0,169.0,18.0,630
131,동학사,1.0,3.0,12.0,74.0,98.0,2.0,154.0,1.0,60.0,5.0,1318
132,마곡사,0.0,2.0,20.0,12.0,25.0,1.0,33.0,0.0,4.0,3.0,1852
133,마이산 탑사,0.0,0.0,13.0,14.0,9.0,0.0,29.0,0.0,5.0,8.0,975
134,만어사,0.0,0.0,36.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2391
135,만해한용운심우장,11.0,9.0,47.0,237.0,116.0,194.0,285.0,68.0,237.0,48.0,314
136,만휴정,0.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,489
137,망양정,1.0,3.0,20.0,28.0,16.0,2.0,24.0,5.0,5.0,1.0,230
138,망월사,0.0,1.0,0.0,3.0,3.0,0.0,10.0,0.0,1.0,1.0,175
139,몽촌토성,38.0,0.0,53.0,240.0,146.0,228.0,285.0,0.0,237.0,124.0,522
140,무량사,0.0,0.0,9.0,17.0,5.0,6.0,24.0,0.0,5.0,3.0,288
141,무성서원 ,1.0,1.0,16.0,42.0,1.0,0.0,24.0,0.0,3.0,5.0,137
142,무위사,2.0,1.0,20.0,200.0,2.0,15.0,170.0,9.0,29.0,2.0,0
143,문수산성,0.0,0.0,3.0,2.0,5.0,0.0,12.0,0.0,0.0,1.0,117
144,문수암,0.0,0.0,13.0,2.0,3.0,1.0,6.0,0.0,1.0,0.0,158
145,문의문화재단지,2.0,0.0,2.0,37.0,5.0,1.0,48.0,0.0,11.0,3.0,457
146,문헌서원,0.0,2.0,7.0,73.0,3.0,2.0,30.0,3.0,5.0,3.0,148
147,미래사,1.0,1.0,20.0,10.0,27.0,0.0,14.0,1.0,4.0,1.0,379
148,미리내 성지,0.0,0.0,5.0,5.0,2.0,0.0,7.0,1.0,5.0,0.0,397
149,미황사,0.0,1.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,500
150,반구대암각화,0.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0
151,발산리 석등,0.0,1.0,20.0,56.0,1.0,2.0,31.0,0.0,3.0,0.0,6
152,방조어부림,0.0,2.0,20.0,34.0,100.0,3.0,30.0,0.0,25.0,3.0,27
153,배론성지,1.0,0.0,5.0,0.0,8.0,0.0,9.0,0.0,3.0,0.0,398
154,백담사,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,606
155,백련사,2.0,2.0,36.0,10.0,12.0,0.0,10.0,0.0,4.0,4.0,369
156,백련사,2.0,2.0,36.0,10.0,12.0,0.0,10.0,0.0,4.0,4.0,369
157,백마강,8.0,2.0,2.0,223.0,50.0,43.0,270.0,22.0,92.0,36.0,43
158,백양사,17.0,0.0,20.0,240.0,98.0,226.0,285.0,75.0,237.0,4.0,71
159,백운사,1.0,0.0,20.0,117.0,0.0,0.0,16.0,0.0,7.0,4.0,57
160,백제불교최초도래지,1.0,1.0,1.0,240.0,11.0,5.0,78.0,0.0,10.0,5.0,43
161,범어사,2.0,1.0,24.0,64.0,0.0,3.0,63.0,3.0,24.0,1.0,1461
162,법륜사,1.0,2.0,20.0,62.0,5.0,2.0,38.0,0.0,14.0,0.0,116
163,법주사,0.0,1.0,0.0,43.0,53.0,3.0,74.0,0.0,11.0,3.0,1293
164,병산서원 ,1.0,0.0,12.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1015
165,보경사,0.0,3.0,9.0,14.0,16.0,0.0,6.0,1.0,2.0,3.0,0
166,보령 성주사지,0.0,0.0,5.0,16.0,21.0,2.0,31.0,0.0,3.0,2.0,151
167,보문사,0.0,1.0,19.0,14.0,21.0,0.0,31.0,0.0,5.0,1.0,1677
168,보성 강골마을,1.0,0.0,0.0,30.0,1.0,4.0,17.0,1.0,5.0,0.0,33
169,보성 벌교 홍교,1.0,5.0,20.0,240.0,7.0,11.0,171.0,10.0,20.0,3.0,60
170,보은 법주사,0.0,1.0,0.0,46.0,57.0,3.0,78.0,0.0,12.0,3.0,1293
171,보은 삼년산성,1.0,1.0,19.0,36.0,5.0,2.0,39.0,3.0,10.0,8.0,168
172,봉선사,6.0,3.0,20.0,129.0,3.0,11.0,95.0,5.0,25.0,4.0,859
173,봉원사,21.0,5.0,50.0,239.0,98.0,227.0,285.0,83.0,237.0,124.0,328
174,봉은사,15.0,8.0,58.0,237.0,93.0,220.0,285.0,211.0,237.0,63.0,2640
175,봉정사,0.0,1.0,7.0,3.0,3.0,0.0,3.0,0.0,3.0,1.0,560
176,봉화 닭실마을,2.0,3.0,6.0,172.0,5.0,11.0,131.0,3.0,17.0,5.0,147
177,부석사,0.0,2.0,28.0,12.0,12.0,0.0,10.0,2.0,4.0,2.0,2291
178,부석사,0.0,2.0,28.0,12.0,12.0,0.0,10.0,2.0,4.0,2.0,2290
179,부여 가림성,0.0,0.0,20.0,21.0,0.0,3.0,9.0,3.0,3.0,8.0,452
180,부여 능산리 고분군 ,1.0,0.0,12.0,51.0,6.0,4.0,39.0,1.0,5.0,7.0,167
181,부여 정림사지 오층석탑 ,6.0,0.0,20.0,240.0,43.0,42.0,285.0,0.0,66.0,20.0,261
182,부인사(대구),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
183,북지장사,0.0,0.0,4.0,19.0,6.0,0.0,30.0,6.0,5.0,3.0,73
184,북촌 8경,23.0,0.0,25.0,240.0,237.0,225.0,285.0,0.0,237.0,132.0,137
185,북촌한옥마을,16.0,43.0,60.0,237.0,237.0,226.0,285.0,237.0,237.0,95.0,4488
186,분오리돈대,0.0,1.0,20.0,10.0,76.0,1.0,24.0,1.0,16.0,2.0,163
187,분황사,4.0,3.0,3.0,240.0,82.0,91.0,285.0,17.0,169.0,1.0,546
188,불갑사(불교),0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108
189,불국사,3.0,3.0,20.0,188.0,210.0,9.0,244.0,5.0,73.0,3.0,5750
190,불로동 고분군,4.0,1.0,4.0,240.0,6.0,15.0,285.0,7.0,96.0,10.0,373
191,불영사,1.0,2.0,20.0,21.0,10.0,0.0,52.0,0.0,14.0,2.0,28
192,불회사(나주),0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
193,빙계서원,0.0,0.0,0.0,6.0,2.0,0.0,3.0,0.0,0.0,3.0,21
194,사명대사 생가지,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,45
195,사성암(구례),0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,798
196,사우정고택,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0
197,사천읍성,1.0,2.0,1.0,225.0,34.0,63.0,270.0,7.0,70.0,1.0,44
198,사촌전통마을,0.0,1.0,20.0,14.0,3.0,0.0,8.0,0.0,4.0,1.0,66
199,삼가향교,1.0,0.0,20.0,66.0,1.0,3.0,53.0,1.0,9.0,7.0,2
